participant,lang_1,lang_2,region,age,L2_rating,"Chacun, il veut avoir raison",Chacun veut avoir raison,"Tous, ils sont d'accord",Tous sont d'accord,"Quelqu'un, il a telephone","Quelqu'une, elle a telephone",Quelqu'un a telephone,"Quelqu'un, il a telephone","Personne, il est venu",Personne est venu,"Personne, elle est venu","Tous mes amis, ils sont partis en vacances","Tous mes amis, sont partis en vacances","Quelques amis, ils sont venus",Quelques amis sont venus,"Aucun enfant, il a le droit de faire ca",Aucun enfant a le droit de faire ca,"Aucune enfante, elle a le droit de faire ca","Aucun enfant, elle a le droit de faire ca","Beaucoup d'americains, ils ont achete du papier toilette",Beaucoup d'americains ont achete du papier toilette,"Peu de gens, ils ont accord  une assurance sante",Peu de gens ont accord une assurance sante,"Jean, il boit et mange toute la journee","Jean, il boit et il mange toute la journee",Personne il boit et mange toute la journee,Personne il boit et il mange toute la journee,"Andre, i mange et i boit toute la journee",Personne i boit et i mange toute la journee,"Marie, elle boit et elle mange toute la journee","Marie, a boit et a mange toute la journee"
1,English,,USA,,,3,,1,,2,3,,2,1,,1,4,,4,,4,,4,1,5,,3,,3,3,1,1,1,1,3,1
2,Spanish,Portuguese,France ,,7,1,5,1,3,1,1,5,1,1,5,1,5,1,1,5,1,5,1,1,4,5,1,5,4,5,2,1,5,1,5,1
3,English,,USA,,6,1,4,2,5,1,1,3,1,2,5,1,4,3,2,5,1,5,2,3,2,4,3,5,5,5,1,1,1,1,5,1
4,French,,France,,,1,4,1,5,3,1,5,3,3,5,1,3,5,3,5,3,5,1,1,3,5,3,5,5,5,5,5,5,5,5,5
5,French,,Belgium,,10,2,5,5,5,1,2,5,2,1,4,1,5,1,2,5,2,5,1,1,2,5,3,5,5,3,1,1,4,3,5,1
6,French,,France,,,1,3,1,4,1,1,5,1,1,2,1,1,3,1,5,1,3,1,1,1,5,1,5,2,1,1,1,1,1,1,1
7,English,French,USA,,10,1,5,1,5,1,1,5,3,1,2,1,5,5,2,5,1,2,1,1,1,5,1,5,5,5,1,1,5,1,5,3
8,Greek,,USA,,7,2,4,5,5,2,1,4,1,2,4,1,4,1,3,4,2,5,4,2,2,4,1,4,1,3,1,1,1,1,3,1
9,English,,"USA, France",,5,1,5,3,5,1,1,5,1,1,5,1,5,2,2,5,1,5,1,1,3,5,1,4,2,3,1,1,1,1,2,1
10,English,Czech,USA,,7,1,5,1,5,1,1,5,1,1,2,1,5,5,3,5,1,4,1,,1,5,4,5,4,5,1,1,1,1,5,1
11,Creole,French,Haiti,,7,1,5,2,5,1,5,5,1,1,3,1,3,5,1,5,1,5,1,1,1,1,3,,5,4,5,4,1,1,3,1
12,Marathi,English,USA,,7,4,5,5,5,4,2,5,5,2,5,1,5,2,5,5,1,5,5,3,4,5,4,5,4,5,2,1,2,1,5,1
13,English,,USA,,5,1,2,4,4,4,4,4,2,4,3,2,3,1,3,4,4,4,4,1,5,5,3,3,2,5,2,2,1,1,4,1
14,English,,Ireland,,7,1,4,1,5,1,1,5,1,1,5,,5,2,5,1,1,5,1,1,5,3,1,5,1,5,1,1,5,1,5,1
15,Ede Caabe,French,Benin,,10,1,5,2,5,1,1,5,1,1,1,1,2,5,1,5,1,3,1,1,2,5,1,5,3,3,2,1,2,1,3,1
16,English,Norwegian,USA,,6,1,3,2,2,3,2,3,3,2,3,1,1,3,3,4,3,2,1,1,3,3,2,2,3,2,2,4,1,1,3,2
17,French,,Belgium,,10,2,5,2,3,2,1,5,2,1,4,1,5,5,2,5,4,4,4,3,1,5,2,5,5,5,1,1,4,2,5,1
18,English,Spanish,USA,,6,2,5,2,5,1,1,5,1,2,5,1,5,2,2,5,1,5,1,1,2,5,1,5,3,4,1,1,1,1,4,2
19,English,,Canada,16,6,2,1,1,3,1,1,5,1,1,5,1,1,4,1,4,1,5,1,2,2,5,1,5,3,3,1,1,1,1,3,3
20,French,,Guayana,13,7,1,5,2,5,1,1,5,1,3,5,4,1,5,1,5,1,5,1,1,1,5,1,5,5,5,1,1,1,1,5,1
21,English,,USA,21,6,2,5,5,5,2,1,5,2,2,5,2,5,1,5,5,1,5,2,3,2,5,1,5,5,5,1,3,3,3,5,1
22,French,,France,22,,1,5,4,3,2,2,5,2,1,5,1,1,4,2,4,1,4,1,2,1,5,1,5,5,5,1,1,4,1,5,1
23,French,,France,,,1,5,2,5,1,1,5,1,1,4,1,3,4,1,5,1,4,1,1,1,5,2,5,3,3,1,1,1,1,3,1
24,French,,France,29 ans,,1,3,1,5,1,1,5,1,1,2,1,2,3,1,5,1,5,1,1,1,5,1,5,5,5,1,1,5,2,5,1
25,French,,France,30 ans,10,1,4,1,4,2,1,5,1,1,2,1,3,4,1,5,1,5,1,2,3,5,1,5,5,5,1,1,1,1,5,1
26,English,,USA,30,4,1,5,1,5,1,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,5,1,5,5,5,1,1,1,1,5,1
27,French,,France,28,10,1,5,1,5,1,1,5,1,1,1,1,2,5,1,5,1,1,1,1,1,5,1,5,5,5,1,1,1,1,5,1
28,French,,France,23,,1,5,1,5,1,1,5,1,1,3,1,1,1,1,5,5,2,1,5,1,5,1,5,5,4,1,1,5,1,5,1
29,English,Italian,USA,19,4,2,3,3,2,2,3,2,4,1,2,3,3,1,4,2,2,2,3,1,5,3,2,5,4,4,1,1,1,2,4,1
30,English,,USA,35,9,1,5,3,5,1,1,5,2,1,5,1,5,2,4,5,1,5,1,1,3,5,2,5,5,5,1,1,5,1,5,5
31,French,,Canada,37,9,2,4,3,5,2,1,5,1,1,2,1,5,2,2,5,1,5,1,1,2,4,1,5,5,4,1,1,1,1,4,1
32,Vietnamese,,Canada,43,10,1,1,1,5,1,1,5,1,1,2,1,1,2,1,5,1,2,1,1,1,5,1,5,2,2,1,1,1,1,2,1
33,French,,Canada,24,,1,5,4,5,1,1,5,3,1,5,1,4,5,1,5,1,5,1,2,1,5,4,5,5,5,1,1,4,1,5,5
34,French,,Canada,35,,1,5,3,5,1,1,5,1,1,5,1,1,5,1,5,3,5,1,3,1,5,1,5,4,5,1,1,3,1,5,4
35,French,,Canada,22 ans,10,1,5,4,5,1,1,5,1,1,5,1,3,4,2,5,1,4,1,1,3,5,1,5,4,4,2,1,1,1,4,2
36,French,,Canada,30,10,1,5,1,5,1,1,5,1,1,5,1,2,3,1,5,1,4,1,1,1,5,1,5,5,5,1,1,5,1,5,4
37,French,,Canada,29,10,1,5,3,5,1,1,5,1,1,3,1,4,4,1,5,1,1,1,1,1,5,3,3,5,5,1,1,3,1,5,4
